,Batch,Input_Feature,Length,Hidden_Feature,Layer,Bidirectional,Device,Time,Mult-Adds,Params
278,1,1024,256,64,4,True,cuda,0.002053184509277344,219152384,856064
279,1,1024,256,64,4,False,cuda,0.0012466621398925782,96993280,378880
280,1,1024,256,256,2,True,cuda,0.011167018413543702,1075838976,4202496
281,1,1024,256,256,2,False,cuda,0.006544394493103027,470810624,1839104
282,1,1024,256,256,4,True,cuda,0.0178085732460022,1883242496,7356416
283,1,1024,256,256,4,False,cuda,0.008566112518310546,740294656,2891776
284,1,1024,256,1024,2,True,cuda,0.07483108282089233,10745806848,41975808
285,1,1024,256,1024,2,False,cuda,0.03781952142715454,4299161600,16793600
286,1,1024,256,1024,4,True,cuda,0.15178484201431275,23639097344,92340224
287,1,1024,256,1024,4,False,cuda,0.07315301656723022,8598323200,33587200
288,1,1024,1024,16,2,True,cuda,0.004052131175994873,143130624,139776
289,1,1024,1024,16,2,False,cuda,0.002820699214935303,70516736,68864
290,1,1024,1024,16,4,True,cuda,0.006516003608703613,156237824,152576
291,1,1024,1024,16,4,False,cuda,0.003934133052825928,74973184,73216
292,1,1024,1024,64,2,True,cuda,0.00477616548538208,673185792,657408
293,1,1024,1024,64,2,False,cuda,0.003043394088745117,319815680,312320
294,1,1024,1024,64,4,True,cuda,0.006910545825958252,876609536,856064
295,1,1024,1024,64,4,False,cuda,0.004257142543792725,387973120,378880
296,1,1024,1024,256,2,True,cuda,0.03286795854568481,4303355904,4202496
297,1,1024,1024,256,2,False,cuda,0.01651925325393677,1883242496,1839104
298,1,1024,1024,256,4,True,cuda,0.056942529678344726,7532969984,7356416
299,1,1024,1024,256,4,False,cuda,0.044690909385681155,2961178624,2891776
300,1,1024,1024,1024,2,True,cuda,0.29470067501068115,42983227392,41975808
301,1,1024,1024,1024,2,False,cuda,0.1505786657333374,17196646400,16793600
302,1,1024,1024,1024,4,True,cuda,0.5931433701515197,94556389376,92340224
303,1,1024,1024,1024,4,False,cuda,0.2875768065452576,34393292800,33587200
304,1,1024,2048,16,2,True,cuda,0.006583151817321778,286261248,139776
305,1,1024,2048,16,2,False,cuda,0.003975751399993896,141033472,68864
306,1,1024,2048,16,4,True,cuda,0.010635032653808593,312475648,152576
307,1,1024,2048,16,4,False,cuda,0.005942549705505371,149946368,73216
308,1,1024,2048,64,2,True,cuda,0.007251663208007813,1346371584,657408
309,1,1024,2048,64,2,False,cuda,0.00429210901260376,639631360,312320
310,1,1024,2048,64,4,True,cuda,0.012197070121765137,1753219072,856064
311,1,1024,2048,64,4,False,cuda,0.00662431001663208,775946240,378880
312,1,1024,2048,256,2,True,cuda,0.06808476686477662,8606711808,4202496
313,1,1024,2048,256,2,False,cuda,0.03269477367401123,3766484992,1839104
314,1,1024,2048,256,4,True,cuda,0.12286940097808838,15065939968,7356416
315,1,1024,2048,256,4,False,cuda,0.06698437452316285,5922357248,2891776
316,1,1024,2048,1024,2,True,cuda,0.5861130499839783,85966454784,41975808
317,1,1024,2048,1024,2,False,cuda,0.3005149626731873,34393292800,16793600
318,1,1024,2048,1024,4,True,cuda,1.1790511560440065,189112778752,92340224
319,1,1024,2048,1024,4,False,cuda,0.573892867565155,68786585600,33587200
320,1,2048,16,16,2,True,cuda,0.00032115697860717773,4333568,270848
321,1,2048,16,16,2,False,cuda,0.00023465871810913086,2150400,134400
322,1,2048,16,16,4,True,cuda,0.00031178712844848633,4538368,283648
323,1,2048,16,16,4,False,cuda,0.0003026580810546875,2220032,138752
324,1,2048,16,64,2,True,cuda,0.0003194522857666016,18907136,1181696
325,1,2048,16,64,2,False,cuda,0.000231320858001709,9191424,574464
326,1,2048,16,64,4,True,cuda,0.0004617428779602051,22085632,1380352
327,1,2048,16,64,4,False,cuda,0.000286102294921875,10256384,641024
328,1,2048,16,256,2,True,cuda,0.000808563232421875,100794368,6299648
329,1,2048,16,256,2,False,cuda,0.0006861591339111328,46202880,2887680
330,1,2048,16,256,4,True,cuda,0.0013845157623291015,151257088,9453568
331,1,2048,16,256,4,False,cuda,0.0009932851791381837,63045632,3940352
332,1,2048,16,1024,2,True,cuda,0.005520505905151367,805830656,50364416
333,1,2048,16,1024,2,False,cuda,0.0032903003692626954,335806464,20987904
334,1,2048,16,1024,4,True,cuda,0.010967047214508056,1611661312,100728832
335,1,2048,16,1024,4,False,cuda,0.005947098731994629,604504064,37781504
336,1,2048,64,16,2,True,cuda,0.0004991865158081054,17334272,270848
337,1,2048,64,16,2,False,cuda,0.0003110504150390625,8601600,134400
338,1,2048,64,16,4,True,cuda,0.0005839061737060547,18153472,283648
339,1,2048,64,16,4,False,cuda,0.00039766788482666017,8880128,138752
340,1,2048,64,64,2,True,cuda,0.0005406546592712403,75628544,1181696
341,1,2048,64,64,2,False,cuda,0.00038524866104125974,36765696,574464
342,1,2048,64,64,4,True,cuda,0.0007665491104125976,88342528,1380352
343,1,2048,64,64,4,False,cuda,0.0005013084411621093,41025536,641024
344,1,2048,64,256,2,True,cuda,0.0023797297477722167,403177472,6299648
345,1,2048,64,256,2,False,cuda,0.0014004158973693849,184811520,2887680
346,1,2048,64,256,4,True,cuda,0.004155416488647461,605028352,9453568
347,1,2048,64,256,4,False,cuda,0.00250483512878418,252182528,3940352
348,1,2048,64,1024,2,True,cuda,0.019482996463775635,3223322624,50364416
349,1,2048,64,1024,2,False,cuda,0.01069629669189453,1343225856,20987904
350,1,2048,64,1024,4,True,cuda,0.039516093730926516,6446645248,100728832
351,1,2048,64,1024,4,False,cuda,0.020462651252746582,2418016256,37781504
352,1,2048,256,16,2,True,cuda,0.0013091158866882324,69337088,270848
353,1,2048,256,16,2,False,cuda,0.0009115910530090332,34406400,134400
354,1,2048,256,16,4,True,cuda,0.0018355154991149902,72613888,283648
355,1,2048,256,16,4,False,cuda,0.001156611442565918,35520512,138752
356,1,2048,256,64,2,True,cuda,0.0014718174934387207,302514176,1181696
357,1,2048,256,64,2,False,cuda,0.0009842801094055176,147062784,574464
358,1,2048,256,64,4,True,cuda,0.002217874526977539,353370112,1380352
359,1,2048,256,64,4,False,cuda,0.0013081836700439453,164102144,641024
360,1,2048,256,256,2,True,cuda,0.011719567775726318,1612709888,6299648
361,1,2048,256,256,2,False,cuda,0.007072155475616455,739246080,2887680
362,1,2048,256,256,4,True,cuda,0.02029754638671875,2420113408,9453568
363,1,2048,256,256,4,False,cuda,0.013433332443237305,1008730112,3940352
364,1,2048,256,1024,2,True,cuda,0.07600950956344604,12893290496,50364416
365,1,2048,256,1024,2,False,cuda,0.03837390422821045,5372903424,20987904
366,1,2048,256,1024,4,True,cuda,0.15301625967025756,25786580992,100728832
367,1,2048,256,1024,4,False,cuda,0.07386736869812012,9672065024,37781504
